Name,Currency,Active,Day Count,Fixing Calendar,Offset Days,Offset Calendar,Effective Date Calendar,Tenor,Tenor Convention,FixingTime,FixingZone
,,,,,,,,,,,,
USD-LIBOR-1W,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,1W,None,11:00,Europe/London
USD-LIBOR-2W,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,2W,None,11:00,Europe/London
USD-LIBOR-1M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,1M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-2M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,2M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-3M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,3M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-4M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,4M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-5M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,5M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-6M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,6M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-7M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,7M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-8M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,8M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-9M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,9M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-10M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,10M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-11M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,11M,LastBusinessDay,11:00,Europe/London
USD-LIBOR-12M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,12M,LastBusinessDay,11:00,Europe/London
,,,,,,,,,,,,
EUR-LIBOR-1W,EUR,TRUE,Act/360,GBLO,2,EUTA,EUTA,1W,None,11:00,Europe/London
